tic,SP_ENTITY_NAME,SP_ENTITY_ID,SP_BUSINESS_DESCRIPTION,SP_LONG_BUSINESS_DESCRIPTION,SP_TOPICTAG,SP_TICKER,SP_EXCHANGE_TICKER,SP_COMPANY_NAME,_merge,YH_BUS_DESC,SA_BUS_DESC
ACA,"Arcosa, Inc. (NYSE:ACA)",10660585.0,"Arcosa, Inc., together with its subsidiaries, provides infrastructure-related products and solutions","Arcosa, Inc. and its consolidated subsidiaries (Arcosa) operate as a provider of infrastructure-rela",Freight Service; Industrial Automation; Marine Transportation; Disposal and Recycling; Sensors; Smart Cities,ACA,NYSE:ACA,"Arcosa, Inc.",both,"Arcosa, Inc., together with its subsidiaries, provides infrastructure-related products and solutions","Arcosa, Inc., together with its subsidiaries, provides infrastructure-related products and solutions"
PFSI,"PennyMac Financial Services, Inc. (NYSE:PFSI)",4376176.0,"PennyMac Financial Services, Inc., through its subsidiaries, engages in the mortgage banking and inv","PennyMac Financial Services, Inc. operates as a specialty financial services company with a comprehe",Consumer Lending; Micro Lending,PFSI,NYSE:PFSI,"PennyMac Financial Services, Inc.",both,"PennyMac Financial Services, Inc., through its subsidiaries, engages in the mortgage banking and inv","PennyMac Financial Services, Inc., through its subsidiaries, engages in the mortgage banking and inv"
GPN,Global Payments Inc. (NYSE:GPN),4090258.0,"Global Payments Inc. provides payment technology and software solutions for card, check, and digital",Global Payments Inc. and its consolidated subsidiaries (Global Payments) operate as a payments techn,Software Development; Fintech; Data Protection; Cloud Security; Process Automation; Payment Facilitator Enablers; Online Payments,GPN,NYSE:GPN,Global Payments Inc.,both,"Global Payments Inc. provides payment technology and software solutions for card, check, and digital","Global Payments Inc. provides payment technology and software solutions for card, check, and digital"
IRM,Iron Mountain Incorporated (NYSE:IRM),4094831.0,Iron Mountain Incorporated (NYSE: IRM) is a global leader in information management services. Founde,"Iron Mountain Incorporated, together with its subsidiaries, stores records, primarily physical recor",Disaster Recovery; Backup and Recovery; Data Protection; Courier Service,IRM,NYSE:IRM,Iron Mountain Incorporated,both,Iron Mountain Incorporated (NYSE: IRM) is a global leader in information management services. Founde,Iron Mountain Incorporated (NYSE: IRM) is a global leader in information management services. Founde
FULT,Fulton Financial Corporation (NASDAQGS:FULT),100294.0,Fulton Financial Corporation operates as a financial holding company that provides consumer and comm,"Fulton Financial Corporation operates as a financial holding company.

Banking and Financial Service",Consumer Lending,FULT,NASDAQGS:FULT,Fulton Financial Corporation,both,Fulton Financial Corporation operates as a financial holding company that provides consumer and comm,Fulton Financial Corporation operates as a financial holding company that provides consumer and comm
WM,"Waste Management, Inc. (NYSE:WM)",4063852.0,"Waste Management, Inc., through its subsidiaries, engages in the provision of environmental solution","Waste Management, Inc. operates as a provider of comprehensive environmental solutions, providing se",Clean Energy; Environmental Consulting; Disposal and Recycling; CleanTech; Pollution Control; Biofuel; Biomass Energy,WM,NYSE:WM,"Waste Management, Inc.",both,"Waste Management, Inc., through its subsidiaries, engages in the provision of environmental solution","Waste Management, Inc., through its subsidiaries, engages in the provision of environmental solution"
AVEO,"AVEO Pharmaceuticals, Inc. (NASDAQGM:AVEO)",4324880.0,"AVEO Pharmaceuticals, Inc., an oncology-focused biopharmaceutical company, focuses on developing and","AVEO Pharmaceuticals, Inc. (AVEO), a commercial stage, oncology-focused biopharmaceutical company, e",Dermatology; Hematology; Immunology; Oncology,AVEO,NASDAQGM:AVEO,"AVEO Pharmaceuticals, Inc.",both,nan,nan
ARLP,"Alliance Resource Partners, L.P. (NASDAQGS:ARLP)",4098794.0,"Alliance Resource Partners, L.P., a diversified natural resource company, produces and markets coal ","Alliance Resource Partners, L.P. (ARLP) is a diversified natural resource company.

The company gene",Environmental Engineering; Mining Technology; Biofuel,ARLP,NASDAQGS:ARLP,"Alliance Resource Partners, L.P.",both,"Alliance Resource Partners, L.P., a diversified natural resource company, produces and markets coal ","Alliance Resource Partners, L.P., a diversified natural resource company, produces and markets coal "
EMR,Emerson Electric Co. (NYSE:EMR),4136907.0,"Emerson Electric Co., a technology and software company, provides various solutions in the Americas,","Emerson Electric Co. (Emerson) operates as a global technology and software company.

The company pr",Environmental Engineering; Industrial Automation; Sensors; Simulation; Smart Energy; Process Automation,EMR,NYSE:EMR,Emerson Electric Co.,both,"Emerson Electric Co., a technology and software company, provides various solutions in the Americas,","Emerson Electric Co., a technology and software company, provides various solutions in the Americas,"
HLF,Herbalife Ltd. (NYSE:HLF),4910447.0,"Herbalife Ltd. provides health and wellness products in North America, Mexico, South and Central Ame",Herbalife Ltd. operates as a global nutrition company. The company provides health and wellness prod,Fitness; Lifestyle; MHealth; Nutraceutical; Chronic Diseases; Obesity; Digital Wellness,HLF,NYSE:HLF,Herbalife Ltd.,both,"Herbalife Ltd. provides health and wellness products in North America, Mexico, South and Central Ame","Herbalife Ltd. provides health and wellness products in North America, Mexico, South and Central Ame"
ENS,EnerSys (NYSE:ENS),4295769.0,EnerSys engages in the provision of stored energy solutions for industrial applications worldwide. I,EnerSys is a world leader in stored energy solutions for industrial applications. The company design,Energy Management; Energy Storage; Fleet Management; Industrial Automation; Electric Vehicle; Data Center Technology; Battery Energy Storage System (BESS),ENS,NYSE:ENS,EnerSys,both,EnerSys engages in the provision of stored energy solutions for industrial applications worldwide. I,EnerSys engages in the provision of stored energy solutions for industrial applications worldwide. I
VSH,"Vishay Intertechnology, Inc. (NYSE:VSH)",4165163.0,"Vishay Intertechnology, Inc. manufactures and sells discrete semiconductors and passive electronic c","Vishay Intertechnology, Inc. (Vishay) manufactures discrete semiconductors and passive electronic co",Data Integration; Sensors; Smart Energy; Data Centers and Facilities; Data Center Technology,VSH,NYSE:VSH,"Vishay Intertechnology, Inc.",both,"Vishay Intertechnology, Inc. manufactures and sells discrete semiconductors and passive electronic c","Vishay Intertechnology, Inc. manufactures and sells discrete semiconductors and passive electronic c"
NEOG,Neogen Corporation (NASDAQGS:NEOG),4812277.0,"Neogen Corporation, together with its subsidiaries, engages in the development, manufacture, and mar","Neogen Corporation (Neogen) and subsidiaries develop, manufacture and market a diverse line of produ",Animal Feed; Health Diagnostics; Livestock; Genetics; Nutraceutical; Vaccines; Pet Care,NEOG,NASDAQGS:NEOG,Neogen Corporation,both,"Neogen Corporation, together with its subsidiaries, engages in the development, manufacture, and mar","Neogen Corporation, together with its subsidiaries, engages in the development, manufacture, and mar"
B,Barnes Group Inc. (NYSE:B),4992370.0,"Barnes Group Inc. provides engineered products, industrial technologies, and solutions in the United",Barnes Group Inc. (Barnes) leverages world-class manufacturing capabilities and market-leading engin,Industrial Automation; Sensors; Process Automation; Passenger Aircraft Manufacturing,B,NYSE:B,Barnes Group Inc.,both,"Barnes Group Inc. provides engineered products, industrial technologies, and solutions in the United","Barnes Group Inc. provides engineered products, industrial technologies, and solutions in the United"
TRN,"Trinity Industries, Inc. (NYSE:TRN)",4041526.0,"Trinity Industries, Inc. provides rail transportation products and services under the TrinityRail na","Trinity Industries, Inc. and its consolidated subsidiaries (Trinity) provide railcar products and se",Fleet Management; Freight Service,TRN,NYSE:TRN,"Trinity Industries, Inc.",both,"Trinity Industries, Inc. provides rail transportation products and services under the TrinityRail na","Trinity Industries, Inc. provides rail transportation products and services under the TrinityRail na"
ESI,Element Solutions Inc (NYSE:ESI),4594344.0,"Element Solutions Inc operates as a specialty chemicals company in the United States, China, and int",Element Solutions Inc is a leading global specialty chemicals company whose businesses supply a broa,Software Development; Environmental Engineering; Industrial Automation; Packaging Services; Sensors; Pollution Control; 3D Printing,ESI,NYSE:ESI,Element Solutions Inc,both,"Element Solutions Inc operates as a specialty chemicals company in the United States, China, and int","Element Solutions Inc operates as a specialty chemicals company in the United States, China, and int"
OGE,OGE Energy Corp. (NYSE:OGE),4057055.0,"OGE Energy Corp., together with its subsidiaries, operates as an energy services provider in the Uni",OGE Energy Corp. (OGE Energy) operates as a holding company whose primary investment provides electr,Energy Management; Energy Storage; CleanTech; Smart Energy; Power Grid,OGE,NYSE:OGE,OGE Energy Corp.,both,"OGE Energy Corp., together with its subsidiaries, operates as an energy services provider in the Uni","OGE Energy Corp., together with its subsidiaries, operates as an energy services provider in the Uni"
WMK,"Weis Markets, Inc. (NYSE:WMK)",4058144.0,"Weis Markets, Inc. engages in the retail sale of food through a chain of supermarkets in Pennsylvani","Weis Markets, Inc. (Weis Markets) engages principally in the retail sale of food in Pennsylvania and",Organic; Online Grocery,WMK,NYSE:WMK,"Weis Markets, Inc.",both,"Weis Markets, Inc. engages in the retail sale of food through a chain of supermarkets in Pennsylvani","Weis Markets, Inc. engages in the retail sale of food through a chain of supermarkets in Pennsylvani"
FCFS,"FirstCash Holdings, Inc. (NASDAQGS:FCFS)",102876.0,"FirstCash Holdings, Inc, together with its subsidiaries, operates retail pawn stores in the United S","FirstCash Holdings, Inc., along with its wholly owned subsidiaries, operates pawn stores in the U.S.",Anti-Fraud; Consumer Lending; Fintech; Micro Lending; RegTech; Buy Now Pay Later (BNPL),FCFS,NASDAQGS:FCFS,"FirstCash Holdings, Inc.",both,"FirstCash Holdings, Inc, together with its subsidiaries, operates retail pawn stores in the United S","FirstCash Holdings, Inc, together with its subsidiaries, operates retail pawn stores in the United S"
SYK,Stryker Corporation (NYSE:SYK),4321488.0,Stryker Corporation operates as a medical technology company. The company operates through two segme,"Stryker Corporation (Stryker) operates as a medical technology company.

The company offers innovati",Health Diagnostics; Navigation; Neuroscience; Assistive Technology; Neurology; Orthopaedics; Surgery,SYK,NYSE:SYK,Stryker Corporation,both,Stryker Corporation operates as a medical technology company. The company operates through two segme,Stryker Corporation operates as a medical technology company. The company operates through two segme
BBW,"Build-A-Bear Workshop, Inc. (NYSE:BBW)",4911959.0,"Build-A-Bear Workshop, Inc. operates as a multi-channel retailer of plush animals and related produc","Build-A-Bear Workshop, Inc. and subsidiaries is a multi-channel retailer of plush animals and relate",Virtual Goods; Content Creation; Pet Care; Pet Food and Supplies,BBW,NYSE:BBW,"Build-A-Bear Workshop, Inc.",both,"Build-A-Bear Workshop, Inc. operates as a multi-channel retailer of plush animals and related produc","Build-A-Bear Workshop, Inc. operates as a multi-channel retailer of plush animals and related produc"
FBIN,"Fortune Brands Innovations, Inc. (NYSE:FBIN)",4397057.0,"Fortune Brands Innovations, Inc. provides home and security products for residential home repair, re","Fortune Brands Innovations, Inc. (Fortune Brands) operates as an innovation company focused on creat",,FBIN,NYSE:FBIN,"Fortune Brands Innovations, Inc.",both,"Fortune Brands Innovations, Inc. provides home and security products for residential home repair, re","Fortune Brands Innovations, Inc. provides home and security products for residential home repair, re"
SHYF,"The Shyft Group, Inc. (NASDAQGS:SHYF)",4912118.0,"The Shyft Group, Inc. engages in the manufacture and assembly of specialty vehicles for the commerci","The Shyft Group, Inc. operates as a niche market leader in specialty vehicle manufacturing and assem",Fleet Management; Freight Service; Industrial Automation; Last Mile Transportation; Electric Vehicle,SHYF,NASDAQGS:SHYF,"The Shyft Group, Inc.",both,"The Shyft Group, Inc. engages in the manufacture and assembly of specialty vehicles for the commerci","The Shyft Group, Inc. engages in the manufacture and assembly of specialty vehicles for the commerci"
KR,The Kroger Co. (NYSE:KR),4004136.0,The Kroger Co. operates as a food and drug retailer in the United States. The company operates combi,"The Kroger Co. (Kroger) operates as a food and drug retailer that operates supermarkets, pharmacies ",Fast-Moving Consumer Goods; Food Delivery; Organic; Online Grocery; Pet Care,KR,NYSE:KR,The Kroger Co.,both,The Kroger Co. operates as a food and drug retailer in the United States. The company operates combi,The Kroger Co. operates as a food and drug retailer in the United States. The company operates combi
WTRG,"Essential Utilities, Inc. (NYSE:WTRG)",4092620.0,"Essential Utilities, Inc., through its subsidiaries, operates regulated utilities that provide water","Essential Utilities, Inc., through its subsidiaries, provides water, wastewater, or natural gas serv",Clean Energy; Environmental Consulting; Environmental Engineering; Water Purification; Utility Scale Solar,WTRG,NYSE:WTRG,"Essential Utilities, Inc.",both,"Essential Utilities, Inc., through its subsidiaries, operates regulated utilities that provide water","Essential Utilities, Inc., through its subsidiaries, operates regulated utilities that provide water"
HOLX,"Hologic, Inc. (NASDAQGS:HOLX)",4080680.0,"Hologic, Inc. engages in the development, manufacture, and supply of diagnostics products, medical i",nan,Health Diagnostics; Infectious Diseases; Oncology; Orthopaedics; Surgery,HOLX,NASDAQGS:HOLX,"Hologic, Inc.",both,"Hologic, Inc. engages in the development, manufacture, and supply of diagnostics products, medical i","Hologic, Inc. engages in the development, manufacture, and supply of diagnostics products, medical i"
SANM,Sanmina Corporation (NASDAQGS:SANM),4122602.0,"Sanmina Corporation provides integrated manufacturing solutions, components, products and repair, lo","Sanmina Corporation (Sanmina) is a global provider of integrated manufacturing solutions, components",Software Development; Cloud Management; Cloud Infrastructure; Cloud Storage; Process Automation; Artificial Intelligence,SANM,NASDAQGS:SANM,Sanmina Corporation,both,"Sanmina Corporation provides integrated manufacturing solutions, components, products and repair, lo","Sanmina Corporation provides integrated manufacturing solutions, components, products and repair, lo"
DLX,Deluxe Corporation (NYSE:DLX),4006858.0,"Deluxe Corporation provides technology-enabled solutions to enterprises, small businesses, and finan",Deluxe Corporation provides payment solutions. The company has transformed to a modern payments and ,Anti-Fraud; Data Integration; Data Protection; Cloud Data Services; Cloud Security; Online Payments,DLX,NYSE:DLX,Deluxe Corporation,both,"Deluxe Corporation provides technology-enabled solutions to enterprises, small businesses, and finan","Deluxe Corporation provides technology-enabled solutions to enterprises, small businesses, and finan"
BKR,Baker Hughes Company (NASDAQGS:BKR),6893503.0,Baker Hughes Company provides a portfolio of technologies and services to energy and industrial valu,Baker Hughes Company operates as an energy technology company with a diversified portfolio of techno,Clean Energy; Energy Storage; Industrial Automation; Mining Technology; Sensors; CleanTech; ClimateTech,BKR,NASDAQGS:BKR,Baker Hughes Company,both,Baker Hughes Company provides a portfolio of technologies and services to energy and industrial valu,Baker Hughes Company provides a portfolio of technologies and services to energy and industrial valu
LC,LendingClub Corporation (NYSE:LC),4213397.0,"LendingClub Corporation, operates as a bank holding company, that provides range of financial produc","LendingClub Corporation (LendingClub) operates as the bank holding company for LendingClub Bank, Nat",Consumer Lending; Micro Lending; Digital Brokerage; Banking as a Service,LC,NYSE:LC,LendingClub Corporation,both,"LendingClub Corporation, operates as a bank holding company, that provides range of financial produc","LendingClub Corporation, operates as a bank holding company, that provides range of financial produc"
ECOL,"US Ecology Holdings, Inc. (NASDAQGM:ECOL)",4678506.0,"US Ecology Holdings, Inc., through its subsidiaries, provides environmental services to commercial a","US Ecology, Inc. operates as a provider of environmental services to commercial and governmental ent",Environmental Consulting; Environmental Engineering; Disposal and Recycling,ECOL,NASDAQGM:ECOL,"US Ecology Holdings, Inc.",both,nan,nan
BMY,Bristol-Myers Squibb Company (NYSE:BMY),4623856.0,"Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, markets, distributes, and ","Bristol-Myers Squibb Company (BMS) engages in the discovery, development, licensing, manufacturing, ",Health Diagnostics; Cardiovascular; Dermatology; Hematology; Immunology; Neurology; Oncology,BMY,NYSE:BMY,Bristol-Myers Squibb Company,both,"Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, markets, distributes, and ","Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, markets, distributes, and "
TDG,TransDigm Group Incorporated (NYSE:TDG),4421633.0,"TransDigm Group Incorporated designs, produces, and supplies aircraft components in the United State","TransDigm Group Incorporated, through its wholly-owned subsidiary, TransDigm Inc., is a global desig",Fleet Management; Industrial Automation; Sensors; Process Automation; Passenger Aircraft Manufacturing,TDG,NYSE:TDG,TransDigm Group Incorporated,both,"TransDigm Group Incorporated designs, produces, and supplies aircraft components in the United State","TransDigm Group Incorporated designs, produces, and supplies aircraft components in the United State"
VC,Visteon Corporation (NASDAQGS:VC),4088403.0,"Visteon Corporation, an automotive technology company, designs, manufactures, and sells automotive e",Visteon Corporation (Visteon) operates as a global automotive technology company serving the mobilit,Computer Vision; Natural Language Processing; Speech Recognition; Machine Learning; Smart Energy; Remote Access and Control; Artificial Intelligence,VC,NASDAQGS:VC,Visteon Corporation,both,"Visteon Corporation, an automotive technology company, designs, manufactures, and sells automotive e","Visteon Corporation, an automotive technology company, designs, manufactures, and sells automotive e"
COF,Capital One Financial Corporation (NYSE:COF),103239.0,Capital One Financial Corporation operates as the financial services holding company for the Capital,Capital One Financial Corporation operates as a financial services holding company that offers finan,Consumer Lending,COF,NYSE:COF,Capital One Financial Corporation,both,Capital One Financial Corporation operates as the financial services holding company for the Capital,Capital One Financial Corporation operates as the financial services holding company for the Capital
GEO,"The GEO Group, Inc. (NYSE:GEO)",4144107.0,"The GEO Group, Inc. (NYSE: GEO) engages in ownership, leasing, and management of secure facilities, ","The GEO Group, Inc. specializes in the ownership, leasing and management of secure facilities, proce",Physical Security; Sensors; Identity and Access Management; Security Management,GEO,NYSE:GEO,"The GEO Group, Inc.",both,"The GEO Group, Inc. (NYSE: GEO) engages in ownership, leasing, and management of secure facilities, ","The GEO Group, Inc. (NYSE: GEO) engages in ownership, leasing, and management of secure facilities, "
SD,"SandRidge Energy, Inc. (NYSE:SD)",4112996.0,"SandRidge Energy, Inc. engages in the acquisition, development, and production of oil, natural gas, ","SandRidge Energy, Inc. (SandRidge) operates as an independent oil and natural gas company.

The comp",,SD,NYSE:SD,"SandRidge Energy, Inc.",both,"SandRidge Energy, Inc. engages in the acquisition, development, and production of oil, natural gas, ","SandRidge Energy, Inc. engages in the acquisition, development, and production of oil, natural gas, "
WMS,"Advanced Drainage Systems, Inc. (NYSE:WMS)",4987603.0,"Advanced Drainage Systems, Inc. designs, manufactures, and markets thermoplastic corrugated pipes an","Advanced Drainage Systems, Inc. (ADS) operates as a manufacturer of water management solutions in th",Environmental Engineering; Fleet Management; Pollution Control,WMS,NYSE:WMS,"Advanced Drainage Systems, Inc.",both,"Advanced Drainage Systems, Inc. designs, manufactures, and markets thermoplastic corrugated pipes an","Advanced Drainage Systems, Inc. designs, manufactures, and markets thermoplastic corrugated pipes an"
MKC,"McCormick & Company, Incorporated (NYSE:MKC)",4219024.0,"McCormick & Company, Incorporated manufactures, markets, and distributes spices, seasoning mixes, co","McCormick & Company, Incorporated manufactures, markets, and distributes spices, seasoning mixes, co",Organic,MKC,NYSE:MKC,"McCormick & Company, Incorporated",both,"McCormick & Company, Incorporated manufactures, markets, and distributes spices, seasoning mixes, co","McCormick & Company, Incorporated manufactures, markets, and distributes spices, seasoning mixes, co"
GEL,"Genesis Energy, L.P. (NYSE:GEL)",4104850.0,"Genesis Energy, L.P. provides integrated suite of midstream services in crude oil and natural gas in","Genesis Energy, L.P. provides an integrated suite of midstream services primarily transportation, st",Environmental Engineering; Freight Service; Marine Transportation,GEL,NYSE:GEL,"Genesis Energy, L.P.",both,"Genesis Energy, L.P. provides integrated suite of midstream services in crude oil and natural gas in","Genesis Energy, L.P. provides integrated suite of midstream services in crude oil and natural gas in"
SRLP,Sprague Resources LP (NYSE:SRLP),4426437.0,"As of May 28, 2021, Sprague Resources LP operates as a subsidiary of Hartree Partners, LP.","Sprague Resources LP engages in the purchase, storage, distribution, and sale of refined products an",,SRLP,NYSE:SRLP,Sprague Resources LP,both,nan,nan
OTTR,Otter Tail Corporation (NASDAQGS:OTTR),4057017.0,"Otter Tail Corporation, together with its subsidiaries, engages in electric utility, manufacturing, ","Otter Tail Corporation (OTC), through its subsidiaries, engages in electric utility and manufacturin",Clean Energy; Energy Efficiency; Energy Management; Energy Storage; Industrial Automation; Smart Energy; Power Grid,OTTR,NASDAQGS:OTTR,Otter Tail Corporation,both,"Otter Tail Corporation, together with its subsidiaries, engages in electric utility, manufacturing, ","Otter Tail Corporation, together with its subsidiaries, engages in electric utility, manufacturing, "
MGPI,"MGP Ingredients, Inc. (NASDAQGS:MGPI)",4912311.0,"MGP Ingredients, Inc., together with its subsidiaries, engages in the production and supply of disti","MGP Ingredients, Inc. (MGP) operates as a producer and supplier of premium distilled spirits, brande",Animal Feed; Distillery; Organic; Alternative Protein,MGPI,NASDAQGS:MGPI,"MGP Ingredients, Inc.",both,"MGP Ingredients, Inc., together with its subsidiaries, engages in the production and supply of disti","MGP Ingredients, Inc., together with its subsidiaries, engages in the production and supply of disti"
PRU,"Prudential Financial, Inc. (NYSE:PRU)",4072932.0,"Prudential Financial, Inc., together with its subsidiaries, provides insurance, investment managemen","Prudential Financial, Inc. (Prudential Financial) operates as a global financial services leader and",Consumer Lending; Text Analytics; Employee Benefits; Digital Brokerage,PRU,NYSE:PRU,"Prudential Financial, Inc.",both,"Prudential Financial, Inc., together with its subsidiaries, provides insurance, investment managemen","Prudential Financial, Inc., together with its subsidiaries, provides insurance, investment managemen"
TEN,Tenneco Inc. (NYSE:TEN),4071228.0,"Tenneco Inc. designs, manufactures, and sells automotive products for original equipment and afterma","Tenneco Inc., designs, manufactures, markets, and distributes products and services for light vehicl",,TEN,NYSE:TEN,Tenneco Inc.,both,Tsakos Energy Navigation Limited provides seaborne crude oil and petroleum product transportation se,Tsakos Energy Navigation Limited provides seaborne crude oil and petroleum product transportation se
SXI,Standex International Corporation (NYSE:SXI),4150603.0,"Standex International Corporation, together with subsidiaries, engages in the manufacture and sale o",Standex International Corporation and subsidiaries (Standex) operate as a diversified industrial man,Energy Management; Industrial Automation; Marine Transportation; Sensors; Smart Energy; 3D Printing; Passenger Aircraft Manufacturing,SXI,NYSE:SXI,Standex International Corporation,both,"Standex International Corporation, together with subsidiaries, engages in the manufacture and sale o","Standex International Corporation, together with subsidiaries, engages in the manufacture and sale o"
RAD,Rite Aid Corporation (OTCPK:RAD),4022715.0,"Rite Aid Corporation, through its subsidiaries, operates a chain of retail drugstores in the United ","Rite Aid Corporation (Rite Aid), through its subsidiaries, operates as a pharmacy retail healthcare ",Diabetes; Nutraceutical; Addiction; Chronic Diseases; Respiratory; Vaccines,RAD,OTCPK:RAD,Rite Aid Corporation,both,nan,"Rite Aid Corporation, through its subsidiaries, operates a chain of retail drugstores in the United "
AIMC,Altra Industrial Motion Corp. (NASDAQGS:AIMC),4991955.0,"Altra Industrial Motion Corp. designs, produces, and markets a range of electromechanical power tran","Altra Industrial Motion Corp. operates as a global designer, producer, and marketer of a wide range ",,AIMC,NASDAQGS:AIMC,Altra Industrial Motion Corp.,both,nan,nan
MTG,MGIC Investment Corporation (NYSE:MTG),103406.0,"MGIC Investment Corporation, through its subsidiaries, provides private mortgage insurance, other mo","MGIC Investment Corporation (MGIC), through its wholly-owned subsidiaries, provides private mortgage",Consumer Lending,MTG,NYSE:MTG,MGIC Investment Corporation,both,"MGIC Investment Corporation, through its subsidiaries, provides private mortgage insurance, other mo","MGIC Investment Corporation, through its subsidiaries, provides private mortgage insurance, other mo"
SUP,"Superior Industries International, Inc. (NYSE:SUP)",4094643.0,"Superior Industries International, Inc., together with its subsidiaries, designs, manufactures, and ","Superior Industries International, Inc. (Superior) designs and manufactures aluminum wheels for sale",,SUP,NYSE:SUP,"Superior Industries International, Inc.",both,"Superior Industries International, Inc., together with its subsidiaries, designs, manufactures, and ","Superior Industries International, Inc., together with its subsidiaries, designs, manufactures, and "
MNK,Mallinckrodt plc (OTCPK:MNK),4810395.0,"Mallinckrodt plc develops, manufactures, markets, and distributes specialty pharmaceutical products ","Mallinckrodt plc and its wholly owned subsidiaries (Mallinckrodt) develop, manufacture, market and d",Chronic Diseases; Dermatology; Gastroenterology; Immunology; Inflammation; Internal Diseases; Nephrology; Neurology; Ophthalmology; Pain Management; Pulmonology; Rheumatology; Allergy,MNK,OTCPK:MNK,Mallinckrodt plc,both,nan,"Mallinckrodt plc develops, manufactures, markets, and distributes specialty pharmaceutical products "
BCC,Boise Cascade Company (NYSE:BCC),4096031.0,Boise Cascade Company engages in manufacture of wood products and distribution of building materials,Boise Cascade Company (Boise Cascade) operates as a producer of engineered wood products (EWP) and p,Home Improvement,BCC,NYSE:BCC,Boise Cascade Company,both,Boise Cascade Company engages in manufacture of wood products and distribution of building materials,Boise Cascade Company engages in manufacture of wood products and distribution of building materials
JJSF,J&J Snack Foods Corp. (NASDAQGS:JJSF),4911217.0,"J&J Snack Foods Corp. manufactures, markets, and distributes nutritional snack food and beverages to",J&J Snack Foods Corp. manufactures snack foods and distributes frozen beverages which it markets nat,,JJSF,NASDAQGS:JJSF,J&J Snack Foods Corp.,both,"J&J Snack Foods Corp. manufactures, markets, and distributes nutritional snack food and beverages to","J&J Snack Foods Corp. manufactures, markets, and distributes nutritional snack food and beverages to"
GOOGL,Alphabet Inc. (NASDAQGS:GOOGL),4633618.0,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, A","Alphabet Inc. operates a collection of businesses, the major of which is Google.

Segments

The comp",Machine Learning; Wearables; Cloud Data Services; Cloud Infrastructure; Search Engine Optimization; Chatbot; Artificial Intelligence; GenAI,GOOGL,NASDAQGS:GOOGL,Alphabet Inc.,both,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, A","Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, A"
KKR,KKR & Co. Inc. (NYSE:KKR),4165107.0,KKR & Co. Inc. is a private equity and real estate investment firm specializing in direct and fund o,nan,,KKR,NYSE:KKR,KKR & Co. Inc.,both,KKR & Co. Inc. is a private equity and real estate investment firm specializing in direct and fund o,KKR & Co. Inc. is a private equity and real estate investment firm specializing in direct and fund o
TOL,"Toll Brothers, Inc. (NYSE:TOL)",4094404.0,"Toll Brothers, Inc., together with its subsidiaries, designs, builds, markets, sells, and arranges f","Toll Brothers, Inc. designs, builds, markets, sells, and arranges financing for an array of luxury r",Consumer Lending; Home Improvement,TOL,NYSE:TOL,"Toll Brothers, Inc.",both,"Toll Brothers, Inc., together with its subsidiaries, designs, builds, markets, sells, and arranges f","Toll Brothers, Inc., together with its subsidiaries, designs, builds, markets, sells, and arranges f"
PZZA,"Papa John's International, Inc. (NASDAQGS:PZZA)",4070092.0,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants unde","Papa John's International, Inc. (Papa John's) operates and franchises pizza delivery and carryout re",Food Delivery,PZZA,NASDAQGS:PZZA,"Papa John's International, Inc.",both,"Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants unde","Papa John's International, Inc. operates and franchises pizza delivery and carryout restaurants unde"
KSS,Kohl's Corporation (NYSE:KSS),4120239.0,Kohl's Corporation operates as an omnichannel retailer in the United States. It offers branded appar,"Kohl's Corporation (Kohl's) operates department stores in the United States.

The company operates v",,KSS,NYSE:KSS,Kohl's Corporation,both,Kohl's Corporation operates as an omnichannel retailer in the United States. It offers branded appar,Kohl's Corporation operates as an omnichannel retailer in the United States. It offers branded appar
EXTN,Exterran Corporation (NYSE:EXTN),4635090.0,"As of October 13, 2022, Exterran Corporation was acquired by Enerflex Ltd. Exterran Corporation, a s","Exterran Corporation operates as a global systems and process company.

The company offers solutions",Environmental Engineering; Disposal and Recycling; Water Purification,EXTN,NYSE:EXTN,Exterran Corporation,both,nan,nan
AON,Aon plc (NYSE:AON),103317.0,"Aon plc, a professional services firm, provides a range of risk and human capital solutions worldwid","Aon plc (Aon) operates as a professional services company worldwide. 

The company is providing a br",MHealth; Employee Benefits,AON,NYSE:AON,Aon plc,both,"Aon plc, a professional services firm, provides a range of risk and human capital solutions worldwid","Aon plc, a professional services firm, provides a range of risk and human capital solutions worldwid"
DGX,Quest Diagnostics Incorporated (NYSE:DGX),4070417.0,Quest Diagnostics Incorporated provides diagnostic testing and services in the United States and int,Quest Diagnostics Incorporated (Quest Diagnostics) provides diagnostic information services worldwid,Health Diagnostics; MHealth; Chronic Diseases; Infectious Diseases; Neurology; Oncology,DGX,NYSE:DGX,Quest Diagnostics Incorporated,both,Quest Diagnostics Incorporated provides diagnostic testing and services in the United States and int,Quest Diagnostics Incorporated provides diagnostic testing and services in the United States and int
