tic,SP_ENTITY_NAME,SP_ENTITY_ID,SP_BUSINESS_DESCRIPTION,SP_LONG_BUSINESS_DESCRIPTION,SP_TOPICTAG,SP_TICKER,SP_EXCHANGE_TICKER,SP_COMPANY_NAME,_merge,YH_BUS_DESC,SA_BUS_DESC
CNX,CNX Resources Corporation (NYSE:CNX),4072680.0,"CNX Resources Corporation, an independent natural gas and midstream company, engages in the acquisit",CNX Resources Corporation (CNX) operates as an independent low carbon intensity natural gas developm,Environmental Consulting; Environmental Engineering; Disposal and Recycling,CNX,NYSE:CNX,CNX Resources Corporation,both,"CNX Resources Corporation, an independent natural gas and midstream company, engages in the acquisit","CNX Resources Corporation, an independent natural gas and midstream company, engages in the acquisit"
TKR,The Timken Company (NYSE:TKR),4645763.0,"The Timken Company designs, manufactures, and sells engineered bearings and industrial motion produc",The Timken Company (Timken) designs and manages a portfolio of engineered bearings and industrial mo,Industrial Automation; Sensors; Process Automation,TKR,NYSE:TKR,The Timken Company,both,"The Timken Company designs, manufactures, and sells engineered bearings and industrial motion produc","The Timken Company designs, manufactures, and sells engineered bearings and industrial motion produc"
HOG,"Harley-Davidson, Inc. (NYSE:HOG)",4001590.0,"Harley-Davidson, Inc. manufactures and sells motorcycles in the United States and internationally. T","Harley-Davidson, Inc. (Harley-Davidson) designs, manufactures and sells motorcycles.

Segments

The ",Fleet Management; Micro-Mobility; Autonomous Vehicles,HOG,NYSE:HOG,"Harley-Davidson, Inc.",both,"Harley-Davidson, Inc. manufactures and sells motorcycles in the United States and internationally. T","Harley-Davidson, Inc. manufactures and sells motorcycles in the United States and internationally. T"
LYV,"Live Nation Entertainment, Inc. (NYSE:LYV)",4121693.0,"Live Nation Entertainment, Inc. operates as a live entertainment company worldwide. It operates thro","Live Nation Entertainment, Inc. (Live Nation) operates as a live entertainment company worldwide.

T",Tourism; Video Streaming; Amateur Sports,LYV,NYSE:LYV,"Live Nation Entertainment, Inc.",both,"Live Nation Entertainment, Inc. operates as a live entertainment company worldwide. It operates thro","Live Nation Entertainment, Inc. operates as a live entertainment company worldwide. It operates thro"
AEE,Ameren Corporation (NYSE:AEE),4007308.0,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in ",Ameren Corporation (Ameren) operates as a public utility holding company whose primary assets are it,Clean Energy; Energy Efficiency; Energy Management; Energy Storage; CleanTech; Smart Energy; Power Grid; Utility Scale Solar,AEE,NYSE:AEE,Ameren Corporation,both,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in ","Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in "
TMHC,Taylor Morrison Home Corporation (NYSE:TMHC),4344712.0,"Taylor Morrison Home Corporation, together with its subsidiaries, operates as a public homebuilder i",Taylor Morrison Home Corporation (TMHC) operates as a national land developer and homebuilder in the,Home Improvement; Customer Relationship Management; E-learning; Content Creation; Smart Clothing,TMHC,NYSE:TMHC,Taylor Morrison Home Corporation,both,"Taylor Morrison Home Corporation, together with its subsidiaries, operates as a public homebuilder i","Taylor Morrison Home Corporation, together with its subsidiaries, operates as a public homebuilder i"
WTFC,Wintrust Financial Corporation (NASDAQGS:WTFC),1024452.0,Wintrust Financial Corporation operates as a financial holding company. It operates in three segment,"Wintrust Financial Corporation operates as a financial holding company.

The company provides commun",Consumer Lending,WTFC,NASDAQGS:WTFC,Wintrust Financial Corporation,both,Wintrust Financial Corporation operates as a financial holding company. It operates in three segment,Wintrust Financial Corporation operates as a financial holding company. It operates in three segment
MTRX,Matrix Service Company (NASDAQGS:MTRX),4977226.0,"Matrix Service Company provides engineering, fabrication, construction, and maintenance services to ","Matrix Service Company provides engineering, fabrication, construction, and maintenance services to ",Energy Management; Energy Storage; Industrial Automation; Process Automation,MTRX,NASDAQGS:MTRX,Matrix Service Company,both,"Matrix Service Company provides engineering, fabrication, construction, and maintenance services to ","Matrix Service Company provides engineering, fabrication, construction, and maintenance services to "
STON,StoneMor Inc. (NYSE:STON),4551302.0,StoneMor Inc. owns and operates cemeteries and funeral homes in the United States. The company opera,"StoneMor Inc. owns and operates cemeteries and funeral homes in the United States (U.S.).

As of Dec",,STON,NYSE:STON,StoneMor Inc.,both,nan,nan
MHK,"Mohawk Industries, Inc. (NYSE:MHK)",4077651.0,"Mohawk Industries, Inc. designs, manufactures, sources, distributes, and markets flooring products f","Mohawk Industries, Inc. (Mohawk) operates as a global flooring manufacturer that creates products to",,MHK,NYSE:MHK,"Mohawk Industries, Inc.",both,"Mohawk Industries, Inc. designs, manufactures, sources, distributes, and markets flooring products f","Mohawk Industries, Inc. designs, manufactures, sources, distributes, and markets flooring products f"
ALEX,"Alexander & Baldwin, Inc. (NYSE:ALEX)",4008292.0,"Alexander & Baldwin, Inc. (NYSE: ALEX) (A&B) is the only publicly-traded real estate investment trus","Alexander & Baldwin, Inc. operates as a real estate company.

The company owns major anchored strip ",,ALEX,NYSE:ALEX,"Alexander & Baldwin, Inc.",both,"Alexander & Baldwin, Inc. (NYSE: ALEX) (A&B) is the only publicly-traded real estate investment trus","Alexander & Baldwin, Inc. (NYSE: ALEX) (A&B) is the only publicly-traded real estate investment trus"
AWK,"American Water Works Company, Inc. (NYSE:AWK)",4004387.0,"American Water Works Company, Inc., through its subsidiaries, provides water and wastewater services","American Water Works Company, Inc. operates as a water and wastewater utility company in the United ",Environmental Consulting; Environmental Engineering; Disposal and Recycling; Water Purification; CleanTech; Pollution Control; ClimateTech,AWK,NYSE:AWK,"American Water Works Company, Inc.",both,"American Water Works Company, Inc., through its subsidiaries, provides water and wastewater services","American Water Works Company, Inc., through its subsidiaries, provides water and wastewater services"
BTU,Peabody Energy Corporation (NYSE:BTU),4065857.0,"Peabody Energy Corporation engages in coal mining business in the United States, Japan, Taiwan, Aust","Peabody Energy Corporation (Peabody) operates as a producer of metallurgical and thermal coal.

As o",Energy Storage; Utility Scale Solar,BTU,NYSE:BTU,Peabody Energy Corporation,both,"Peabody Energy Corporation engages in coal mining business in the United States, Japan, Taiwan, Aust","Peabody Energy Corporation engages in coal mining business in the United States, Japan, Taiwan, Aust"
