cik,tic,Year,cluster_10,cluster_100
90498,SFNC,2021,4,40
916365,TSCO,2021,7,78
1274494,FSLR,2021,6,38
1012019,RUSHA,2021,2,51
913760,SNEX,2021,4,9
842633,TRS,2021,2,47
88205,SPXC,2021,6,67
48898,HUBB,2021,6,20
37996,F,2021,2,53
1402829,ORN,2021,8,13
910521,DECK,2021,7,28
898437,ANIK,2021,1,23
927653,MCK,2021,1,79
882835,ROP,2021,9,71
1466026,MSBI,2021,4,40
1060822,CRI,2021,7,73
43920,GEF,2021,8,89
1633931,BLD,2021,3,58
1032208,SRE,2021,6,8
1467858,GM,2021,2,53
929008,WCC,2021,6,20
1437107,WBD,2021,9,22
74303,OLN,2021,8,34
1320695,THS,2021,0,0
29644,DCI,2021,2,71
1047335,NHC,2021,1,32
1326801,META,2021,9,74
88948,SENEA,2021,0,0
62996,MAS,2021,3,58
1138118,CBRE,2021,9,81
1601548,VVX,2021,9,70
1090727,UPS,2021,2,19
1069899,PAHC,2021,1,65
916076,MLM,2021,8,91
1133421,NOC,2021,2,70
882095,GILD,2021,1,23
861884,RS,2021,8,55
917520,IART,2021,1,14
883984,ICUI,2021,1,14
100493,TSN,2021,0,88
1031203,GPI,2021,2,36
1050797,COLM,2021,7,48
1455684,TPIC,2021,2,95
918541,NNBR,2021,2,60
906553,BYD,2021,3,27
1362004,ICFI,2021,9,81
88941,SMTC,2021,9,38
1584207,OMF,2021,4,10
745732,ROST,2021,7,73
753308,NEE,2021,6,82
702165,NSC,2021,2,83
103145,VECO,2021,9,38
61986,MTW,2021,2,13
1057706,FBP,2021,4,40
915779,DAKT,2021,9,74
58361,LEE,2021,9,22
79282,BRO,2021,5,80
1031296,FE,2021,6,8
1669779,CWH,2021,3,33
77543,TPC,2021,9,57
1616318,VSTO,2021,3,28
1082554,UTHR,2021,1,23
1099219,MET,2021,5,4
105770,WST,2021,1,23
1368458,SBH,2021,7,24
876427,MNRO,2021,2,17
55242,KMT,2021,8,55
1395942,KAR,2021,2,36
354190,AJG,2021,5,97
866787,AZO,2021,7,17
1390777,BK,2021,4,39
1800,ABT,2021,1,14
723254,CTAS,2021,7,2
1597672,RYAM,2021,8,34
760498,BANF,2021,4,40
78003,PFE,2021,1,23
71829,NR,2021,8,46
1001385,NWPX,2021,8,94
1365135,WU,2021,4,9
794367,M,2021,7,73
1090425,LAMR,2021,9,22
14707,CAL,2021,7,24
1535929,VOYA,2021,5,4
1120193,NDAQ,2021,9,84
861842,CATY,2021,4,40
886982,GS,2021,4,39
10795,BDX,2021,1,14
1699150,IR,2021,2,71
1142750,AMN,2021,1,49
91576,KEY,2021,4,40
814453,NWL,2021,7,74
1418135,KDP,2021,0,41
1528849,RH,2021,3,7
1109354,BRKR,2021,8,5
107140,WLY,2021,9,56
723125,MU,2021,9,38
1637207,PLNT,2021,7,69
764622,PNW,2021,6,82
1770450,XRX,2021,9,68
763532,LYTS,2021,6,77
1701605,BKR,2021,8,46
102752,VSEC,2021,2,70
45012,HAL,2021,8,46
918646,EXP,2021,8,91
1616707,W,2021,3,31
1525769,PLAY,2021,3,27
1585689,HLT,2021,3,16
1364885,SPR,2021,2,21
82811,RRX,2021,2,60
320335,GL,2021,5,4
1518715,HMST,2021,4,40
1016281,CSV,2021,2,3
877422,SPTN,2021,0,0
39311,IBCP,2021,4,40
1316835,BLDR,2021,3,44
877212,ZBRA,2021,9,56
949157,CENX,2021,8,15
1647088,WSC,2021,2,81
712515,EA,2021,9,64
110621,RPM,2021,8,47
98677,TR,2021,0,41
769397,ADSK,2021,9,92
1034670,ALV,2021,2,99
80035,PLPC,2021,6,20
1305323,ZVOI,2021,9,69
4977,AFL,2021,5,80
75362,PCAR,2021,2,51
1517175,CHEF,2021,0,0
1124198,FLR,2021,8,81
933136,COOP,2021,4,10
24545,TAP,2021,0,26
1141103,CCRN,2021,1,49
860748,KMPR,2021,5,80
1376339,MDXG,2021,1,14
1498710,SAVE,2021,2,54
15615,MTZ,2021,6,57
1136869,ZBH,2021,1,14
1157408,LRN,2021,9,69
1058090,CMG,2021,0,37
879169,INCY,2021,1,23
69891,FIZZ,2021,0,41
1604821,NTRA,2021,1,5
7789,ASB,2021,4,40
354950,HD,2021,3,7
91142,AOS,2021,6,77
48287,HNI,2021,3,87
921738,PENN,2021,3,27
1546417,BLMN,2021,0,37
789570,MGM,2021,3,27
1046568,PRDO,2021,9,69
19745,CPK,2021,6,72
1050915,PWR,2021,6,57
18498,GCO,2021,7,48
90896,SKY,2021,3,43
833079,MTH,2021,3,43
1060391,RSG,2021,8,3
1324404,CF,2021,8,35
884219,VVI,2021,3,64
917491,FARO,2021,9,92
1116942,TTMI,2021,9,95
92230,TFC,2021,4,40
1069202,LII,2021,6,67
1315257,KOP,2021,8,93
789933,NC,2021,8,15
763901,BPOP,2021,4,40
910638,DDD,2021,9,56
874499,GPOR,2021,8,62
30305,DCO,2021,2,70
1101302,ENTG,2021,8,5
23217,CAG,2021,0,0
933034,STRT,2021,2,99
791963,OPY,2021,4,39
16160,CALM,2021,0,0
915840,BZH,2021,3,66
1039065,OSIS,2021,1,1
4457,UHAL,2021,2,51
896878,INTU,2021,9,68
703604,DSGR,2021,2,2
885550,CACC,2021,4,36
79879,PPG,2021,8,47
46619,HEI,2021,2,21
1067701,URI,2021,2,13
92122,SO,2021,6,8
944809,OPK,2021,1,23
70318,THC,2021,1,49
96943,TFX,2021,1,1
1580905,IBP,2021,3,58
874501,AMBC,2021,5,4
912615,URBN,2021,7,73
354707,HE,2021,6,98
26324,CW,2021,2,70
1005210,SPH,2021,6,72
1124941,BECN,2021,3,58
1751788,DOW,2021,8,34
1069878,TREX,2021,3,44
1390478,SLS,2021,1,23
793733,SKYW,2021,2,54
1368622,AVAV,2021,2,70
1275187,ANGO,2021,1,14
1324948,RBC,2021,2,60
728535,JBHT,2021,2,50
38725,FELE,2021,6,71
860731,TYL,2021,9,68
1021561,NUS,2021,1,18
1397911,LPLA,2021,4,39
1065280,NFLX,2021,9,64
1296445,ORA,2021,6,98
1320461,CPS,2021,2,99
816956,CNMD,2021,1,14
1040130,PETS,2021,1,65
1657853,HTZ,2021,2,17
278166,CVCO,2021,3,43
86312,TRV,2021,5,4
716634,RDI,2021,3,64
1590715,AREC,2021,8,15
825542,SMG,2021,0,65
1014111,GLAE,2021,9,84
924822,MLR,2021,2,51
1378992,BERY,2021,0,61
74260,ORI,2021,5,80
29905,DOV,2021,2,60
1116132,TPR,2021,7,48
109380,ZION,2021,4,40
1144980,ABG,2021,2,36
712534,FRME,2021,4,40
790051,CSL,2021,2,47
1282648,BATL,2021,8,62
39911,GPS,2021,7,73
1043604,JNPR,2021,9,29
1474735,GNRC,2021,6,77
1022671,STLD,2021,8,55
866706,ESE,2021,6,70
1114483,ITGR,2021,1,1
1334036,CROX,2021,7,48
920760,LEN,2021,3,66
29534,DG,2021,7,78
60519,LPX,2021,3,44
1396009,VMC,2021,8,91
913142,BDC,2021,9,20
928658,CVLG,2021,2,50
927066,DVA,2021,1,49
880266,AGCO,2021,2,30
92380,LUV,2021,2,54
277509,FSS,2021,2,71
1012100,SEE,2021,2,61
1097864,ON,2021,9,38
854560,GSBC,2021,4,40
1265131,HTH,2021,4,40
1524472,XYL,2021,9,94
1037038,RL,2021,7,75
1381197,IBKR,2021,4,9
73124,NTRS,2021,4,39
701985,BBWI,2021,7,73
16058,CACI,2021,9,81
72331,NDSN,2021,8,60
34088,XOM,2021,8,62
1173514,HY,2021,2,51
217346,TXT,2021,2,21
1488139,AMRC,2021,6,20
1276520,GNW,2021,5,63
1287213,PLOW,2021,2,30
863110,ARTNA,2021,8,94
64040,SPGI,2021,9,84
317540,COKE,2021,0,41
746838,UIS,2021,9,68
937098,TNET,2021,9,12
93389,SMP,2021,2,99
310142,SXT,2021,8,18
897077,ALG,2021,2,30
731766,UNH,2021,1,79
732717,T,2021,9,52
4962,AXP,2021,4,9
1013880,TTEC,2021,9,68
1040470,AEHR,2021,9,38
796343,ADBE,2021,9,56
720672,SF,2021,4,39
915389,EMN,2021,8,34
1101215,BFH,2021,4,9
277948,CSX,2021,2,83
1133311,TZOO,2021,9,64
