cik,tic,Year,cluster_10,cluster_100
24741,GLW,2021,7,43
814585,MBI,2021,5,81
16040,CBT,2021,4,43
1514705,SXC,2021,8,16
1488813,CUBI,2021,5,30
785161,EHC,2021,9,87
1336917,UAA,2021,0,75
1636222,WING,2021,0,77
1408075,GPK,2021,4,76
1124804,MDRX,2021,9,41
1783180,CARR,2021,1,99
1403568,ULTA,2021,0,73
818479,XRAY,2021,9,34
750004,LNW,2021,3,39
1001250,EL,2021,0,85
1156375,CME,2021,3,94
46195,BOH,2021,5,72
875045,BIIB,2021,9,63
7536,ARW,2021,7,32
275053,NATR,2021,0,55
1219601,CCK,2021,4,76
1163302,X,2021,8,45
879526,WNC,2021,8,40
277135,GWW,2021,1,17
1145986,ASPN,2021,4,43
1130310,CNP,2021,6,78
917470,ZEUS,2021,4,45
51644,IPG,2021,3,52
1047862,ED,2021,6,78
1230245,PIPR,2021,5,15
37785,FMC,2021,4,43
1320854,RAIL,2021,8,45
1673985,ASIX,2021,4,43
1590895,CZR,2021,2,60
1618673,PFGC,2021,0,0
1071739,CNC,2021,9,4
107263,WMB,2021,6,66
871763,MAN,2021,3,47
766829,SJW,2021,6,84
1144215,AYI,2021,1,67
1164727,NEM,2021,8,51
310158,MRK,2021,9,10
940942,HUBG,2021,8,40
1592386,VIRT,2021,3,15
912463,GES,2021,0,2
875357,BOKF,2021,5,7
1018724,AMZN,2021,3,73
912767,UFPI,2021,4,20
1708055,RBBN,2021,7,59
352825,FSTR,2021,8,45
104169,WMT,2021,0,73
1021162,TGI,2021,1,46
91419,SJM,2021,0,58
1564708,NWSA,2021,3,68
66570,MSA,2021,1,2
896156,ETD,2021,2,69
1164863,NPO,2021,1,46
1037868,AME,2021,7,46
1053352,HTBK,2021,5,30
745308,JOE,2021,2,18
1041803,PSMT,2021,0,95
1403161,V,2021,3,3
1677703,CNDT,2021,3,4
764401,IIIN,2021,4,45
945114,GIC,2021,1,17
1561680,TPH,2021,2,18
1276187,ET,2021,6,66
1174922,WYNN,2021,2,60
1576940,CCS,2021,2,18
102212,UVSP,2021,5,30
90498,SFNC,2021,5,7
916365,TSCO,2021,0,73
1274494,FSLR,2021,7,79
1012019,RUSHA,2021,2,6
913760,SNEX,2021,5,15
842633,TRS,2021,4,46
88205,SPXC,2021,1,24
