caps,sale,at,ap,bkvlps,ceq,ch,ci,cogs,dp,cik,fyear
3268.0,17421.0,15040.0,1479.0,0.7246,609.0,832.0,2295.0,6579.0,556.0,21665.0,2021.0
18.959,293.336,404.159,19.575,36.4441,344.324,119.429,46.802,157.856,16.804,830524.0,2021.0
6676.0,9313.0,22600.0,407.0,-3.9356,-220.0,534.0,1337.0,4411.0,1674.0,723612.0,2021.0
10057.0,16265.0,20139.0,840.0,21.2599,5052.0,2672.0,664.0,12879.0,1490.0,1688568.0,2021.0
605.439,581.695,993.111,36.193,19.0765,500.719,30.861,-73.48,357.312,30.399,23197.0,2021.0
37.215,8.593,13.345,0.644,0.3184,5.733,8.33,1.52,2.658,0.167,718332.0,2021.0
376.537,773.415,851.71,10.092,12.8644,468.482,314.017,88.776,236.109,48.771,1549346.0,2021.0
260.387,74.877,788.409,43.602,40.6534,351.205,50.735,10.077,56.937,0.0,733590.0,2021.0
381.788,366.106,894.807,36.684,946.3704,587.696,42.349,35.102,223.33,30.05,1726173.0,2021.0
1131.602,5719.318,18591.111,1209.488,20.5202,7475.456,20.868,1666.408,1057.737,1936.452,732834.0,2021.0
1715.2,2922.5,9606.2,161.4,140.8073,6941.8,95.9,3075.4,774.1,309.3,711404.0,2021.0
6970.9,10279.7,27619.0,2098.1,61.83,13417.1,637.4,1169.8,5673.6,770.7,24545.0,2021.0
0.0,2821.444,2391.694,135.176,28.2433,663.633,144.593,274.859,2417.592,107.09,1067294.0,2021.0
363.9,3180.0,4486.6,246.7,31.681,1832.3,478.6,462.2,1821.0,118.1,1912291.0,2021.0
55.925,87.36,60.155,6.375,4.5438,45.801,1.598,9.918,63.061,1.161,25895.0,2021.0
43.143,294.839,177.563,20.099,9.7719,119.501,14.55,-3.325,251.376,7.37,723603.0,2021.0
1871.0,24021.0,23710.0,3021.0,59.4667,8474.0,2592.0,2570.0,17690.0,658.0,26172.0,2021.0
127.104,2505.931,4103.545,211.64,47.4783,1826.49,171.004,387.55,1458.191,114.384,26324.0,2021.0
674.348,0.0,32.169,8.189,0.6833,21.909,8.968,-58.013,0.0,0.0,109657.0,2021.0
2898.633,1896.998,5101.391,41.163,2.0218,436.405,249.438,201.833,611.68,125.54,30697.0,2021.0
2427.0,8945.0,7632.0,1571.0,13.3251,1922.0,268.0,239.0,7733.0,389.0,26780.0,2021.0
155.268,24.695,74.038,2.58,2.6424,62.477,25.376,-28.901,29.016,12.863,799165.0,2021.0
6421.0,106005.0,53811.0,15478.0,27.2177,12827.0,5911.0,7149.0,74665.0,2642.0,27419.0,2021.0
4517.6,43959.0,84114.0,3124.0,59.8283,18431.0,8017.0,8965.0,28600.0,2050.0,315189.0,2021.0
57.368,2022.197,3074.384,153.072,13.4567,574.318,41.231,72.713,731.306,148.767,27996.0,2021.0
519.826,1112.38,3053.836,56.071,26.4161,1301.07,494.613,78.165,451.635,47.671,730464.0,2021.0
0.0,1639.862,1698.527,179.012,7.0112,175.281,198.777,-71.527,1403.897,16.641,939930.0,2021.0
15.962,115.168,67.091,12.71,9.6785,25.861,0.643,7.247,97.354,1.95,722313.0,2021.0
471.649,1805.162,2194.495,221.254,27.4839,1237.242,363.599,259.377,1025.767,122.435,29002.0,2021.0
157.658,341.247,235.499,16.748,4.2015,66.375,1.471,2.176,255.72,8.272,29332.0,2021.0
3587.914,34220.449,26327.371,3738.604,27.2241,6261.986,344.829,2400.203,22766.127,641.316,29534.0,2021.0
2686.9,4963.7,3131.4,895.3,-2.3763,-178.7,280.2,95.1,3994.8,130.5,29669.0,2021.0
49574.0,16653.0,45707.0,2612.0,51.6478,26433.0,2011.0,6499.0,10121.0,1395.0,1666700.0,2021.0
622.0,14289.4,28421.8,11897.2,15.6394,3270.2,5316.8,1452.2,11550.2,212.1,29989.0,2021.0
2.028,3130.519,2118.224,155.896,25.6152,758.544,310.757,48.574,2633.877,152.652,67215.0,2021.0
0.0,47.799,39.14,3.739,1.0097,17.533,6.103,2.001,32.993,1.607,720875.0,2021.0
0.0,246.523,266.329,29.634,18.2895,114.602,6.168,12.313,182.516,7.241,31107.0,2021.0
1166.0,1150.0,2171.0,153.0,9.8729,781.0,362.0,691.0,955.0,31.0,31235.0,2021.0
12448.0,19628.0,34027.0,2797.0,41.156,16413.0,297.0,2708.0,12436.0,857.0,1551182.0,2021.0
6464.6,12733.1,21206.4,1384.2,25.1816,7224.2,359.9,1500.4,6678.8,843.1,31462.0,2021.0
12.247,142.229,109.934,12.412,5.371,46.765,0.361,8.307,42.171,2.127,31667.0,2021.0
2.041,8.607,13.891,0.349,3.8834,13.188,6.713,0.409,3.635,0.295,351789.0,2021.0
79.792,8.206,30.01,0.758,1.0997,23.509,25.576,-3.626,6.237,0.0,32621.0,2021.0
835.694,150.464,1448.244,12.927,6.6485,683.023,268.522,-36.175,18.792,14.904,1507605.0,2021.0
123.99,400.014,368.844,16.678,11.7758,303.815,85.606,30.677,264.714,18.777,33002.0,2021.0
75.983,0.701,47.754,0.331,0.0656,4.868,47.641,-0.469,1.17,0.0,727510.0,2021.0
337.126,117.731,113.691,8.123,1.415,68.586,13.524,7.546,61.526,2.628,316253.0,2021.0
1536.7,4923.9,11040.9,211.6,29.3563,3584.4,224.7,623.9,1980.9,480.4,33185.0,2021.0
0.0,313.612,251.798,15.847,10.866,146.615,4.374,24.405,233.514,4.835,33488.0,2021.0
23.026,27.735,37.981,2.718,12.5184,30.332,6.803,-0.181,23.855,0.52,33533.0,2021.0
72.466,161.231,331.312,19.878,7.2179,75.672,24.291,-15.462,165.524,3.29,33992.0,2021.0
3.16,16523.517,7609.929,2012.461,20.8984,3494.426,1728.692,1386.437,14306.793,51.312,746515.0,2021.0
294.515,260.115,864.412,40.276,18.6318,360.525,30.81,-4.586,194.231,12.694,34067.0,2021.0
78.688,590.601,390.71,49.443,15.5626,302.038,89.884,66.124,454.532,14.521,764401.0,2021.0
66.109,397.85,338.006,45.703,4.9407,104.944,10.263,-10.951,266.925,30.0,34563.0,2021.0
3.269,69.595,76.735,7.485,22.3575,30.898,0.085,14.251,60.545,3.726,34908.0,2021.0
279.317,1126.264,1290.024,136.599,6.4382,538.384,71.493,98.408,741.102,40.2,35214.0,2021.0
545.988,0.0,97.008,1.934,1.543,92.254,24.647,-27.523,0.0,0.055,320017.0,2021.0
6.24,137.307,128.002,9.77,27.5498,51.215,32.676,16.765,108.3,3.063,12040.0,2021.0
34.015,478.925,296.779,67.613,24.528,167.968,1.342,23.048,376.94,5.21,37472.0,2021.0
678.414,4330.767,3253.313,268.5,6.676,1411.274,185.871,202.35,2175.249,136.557,1128928.0,2021.0
185.101,89.93,189.506,1.866,19.9537,138.419,44.462,13.674,42.375,4.082,355019.0,2021.0
310.617,1661.865,1575.165,164.758,20.3623,946.501,40.536,131.031,1041.204,44.572,38725.0,2021.0
57.956,48.296,85.88,1.08,5.0218,46.688,11.561,-9.394,36.897,2.8,39020.0,2021.0
30.442,285.235,159.275,44.75,11.623,79.687,2.598,14.986,242.927,1.32,39092.0,2021.0
213.637,3278.031,4274.53,500.321,30.2544,1596.769,61.786,194.055,2281.548,143.174,39368.0,2021.0
1182.9,18992.8,31090.1,3982.3,17.6029,10542.4,569.4,3120.8,12016.1,570.3,40704.0,2021.0
291.444,2422.084,1562.099,152.484,43.6985,601.641,320.525,113.502,1190.707,42.969,18498.0,2021.0
0.0,9.027,8.055,1.53,0.052,0.89,0.025,-2.715,5.568,0.202,719274.0,2021.0
