cik,tic,Year,cluster_10,cluster_100
766829,SJW,2021,4,92
773141,MDC,2021,0,58
1144215,AYI,2021,5,84
1164727,NEM,2021,6,29
310158,MRK,2021,3,88
940942,HUBG,2021,1,90
1592386,VIRT,2021,2,66
912463,GES,2021,0,0
875357,BOKF,2021,2,51
1571949,ICE,2021,2,66
1018724,AMZN,2021,0,57
1095073,RE,2021,2,10
912767,UFPI,2021,5,41
789019,MSFT,2021,8,16
1708055,RBBN,2021,8,16
352825,FSTR,2021,5,71
104169,WMT,2021,7,47
14693,BF.B,2021,7,47
1021162,TGI,2021,5,1
91419,SJM,2021,7,85
1564708,NWSA,2021,9,98
46129,AMOT,2021,5,60
1058623,CMLS,2021,9,50
21510,COHR.1,2021,8,78
1136352,CEQP,2021,4,38
1255474,WLL,2021,4,61
66570,MSA,2021,5,17
896156,ETD,2021,0,32
1164863,NPO,2021,5,73
1037868,AME,2021,5,7
1053352,HTBK,2021,2,36
745308,JOE,2021,9,48
1041803,PSMT,2021,7,5
1403161,V,2021,8,43
1677703,CNDT,2021,8,70
764401,IIIN,2021,5,53
945114,GIC,2021,5,60
1561680,TPH,2021,0,58
1276187,ET,2021,4,38
1174922,WYNN,2021,0,80
1576940,CCS,2021,0,58
102212,UVSP,2021,2,97
90498,SFNC,2021,2,2
916365,TSCO,2021,0,64
1274494,FSLR,2021,8,91
1012019,RUSHA,2021,1,89
913760,SNEX,2021,2,66
842633,TRS,2021,6,59
88205,SPXC,2021,5,84
48898,HUBB,2021,5,7
56047,KEX,2021,1,45
37996,F,2021,0,55
912242,MAC,2021,9,48
1402829,ORN,2021,1,68
910521,DECK,2021,0,31
898437,ANIK,2021,3,4
927653,MCK,2021,3,46
882835,ROP,2021,8,78
1466026,MSBI,2021,2,97
1060822,CRI,2021,0,0
43920,GEF,2021,6,15
1633931,BLD,2021,0,17
1032208,SRE,2021,4,11
1467858,GM,2021,0,55
929008,WCC,2021,1,45
67887,MOG.A,2021,5,27
1492633,NLSN,2021,5,54
1437107,WBD,2021,9,86
74303,OLN,2021,6,3
1320695,THS,2021,7,85
29644,DCI,2021,5,1
1047335,NHC,2021,3,40
1515156,ADES,2021,6,29
1326801,META,2021,9,62
88948,SENEA,2021,7,85
62996,MAS,2021,5,17
1138118,CBRE,2021,9,30
1601548,VVX,2021,1,39
1090727,UPS,2021,1,21
1069899,PAHC,2021,3,23
916076,MLM,2021,6,65
1133421,NOC,2021,1,39
882095,GILD,2021,3,88
861884,RS,2021,6,29
917520,IART,2021,3,35
883984,ICUI,2021,3,46
100493,TSN,2021,7,72
1031203,GPI,2021,0,31
1050797,COLM,2021,0,34
1455684,TPIC,2021,5,53
918541,NNBR,2021,5,73
906553,BYD,2021,0,80
877890,CTXS,2021,8,44
1362004,ICFI,2021,1,68
88941,SMTC,2021,8,16
1584207,OMF,2021,2,52
745732,ROST,2021,0,0
753308,NEE,2021,4,11
702165,NSC,2021,1,71
103145,VECO,2021,8,6
61986,MTW,2021,1,45
1057706,FBP,2021,2,36
915779,DAKT,2021,8,44
58361,LEE,2021,9,98
79282,BRO,2021,2,56
1031296,FE,2021,4,11
921557,RBCAA,2021,2,2
1274173,JHG,2021,2,19
1669779,CWH,2021,0,32
77543,TPC,2021,1,20
1616318,VSTO,2021,0,34
54381,KAMN,2021,5,73
1082554,UTHR,2021,3,49
912595,MAA,2021,9,12
1324272,RUTH,2021,0,81
1099219,MET,2021,2,10
105770,WST,2021,3,23
1368458,SBH,2021,0,64
876427,MNRO,2021,0,87
55242,KMT,2021,5,73
1395942,KAR,2021,1,89
354190,AJG,2021,2,10
866787,AZO,2021,0,64
1390777,BK,2021,2,19
49071,HUM,2021,3,42
1800,ABT,2021,3,49
723254,CTAS,2021,5,60
1321646,KRA,2021,6,3
1396033,LL,2021,0,58
1597672,RYAM,2021,6,29
760498,BANF,2021,2,52
78003,PFE,2021,3,88
71829,NR,2021,4,33
1001385,NWPX,2021,5,20
1365135,WU,2021,8,43
1124610,VMW,2021,8,44
794367,M,2021,0,57
1090425,LAMR,2021,9,26
1060349,GAMI,2021,2,10
14707,CAL,2021,0,31
1535929,VOYA,2021,2,10
1120193,NDAQ,2021,2,66
861842,CATY,2021,2,22
861878,SRCL,2021,1,54
886982,GS,2021,2,66
10795,BDX,2021,3,46
1699150,IR,2021,5,7
1142750,AMN,2021,3,40
91576,KEY,2021,2,52
814453,NWL,2021,0,93
1418135,KDP,2021,7,94
1528849,RH,2021,0,0
1109354,BRKR,2021,3,23
