cik,tic,Year,GICS_Sector
820318,COHR,2021,45.0
910073,NYCB,2021,40.0
94049,SCL,2021,15.0
914025,POLY,2021,45.0
77360,PNR,2021,20.0
810332,MESA,2021,20.0
7332,SWN,2021,10.0
1396814,PCRX,2021,35.0
55135,KELYA,2021,20.0
820027,AMP,2021,40.0
920371,SSD,2021,20.0
1335258,LYV,2021,50.0
1002910,AEE,2021,55.0
1562476,TMHC,2021,25.0
1015328,WTFC,2021,40.0
857005,PTC,2021,45.0
49826,ITW,2021,20.0
1156388,BGFV,2021,25.0
866374,FLEX,2021,45.0
730263,THO,2021,25.0
9326,BCPC,2021,15.0
1035983,FIX,2021,20.0
35527,FITB,2021,40.0
1603923,WFRD,2021,10.0
701374,SIX,2021,25.0
104918,AVA,2021,55.0
811156,CMS,2021,55.0
1374310,CBOE,2021,40.0
64803,CVS,2021,35.0
91767,SON,2021,15.0
723603,CULP,2021,25.0
1042046,AFG,2021,40.0
1039684,OKE,2021,10.0
866273,MTRX,2021,20.0
1753886,STON,2021,25.0
851968,MHK,2021,25.0
1545654,ALEX,2021,60.0
1410636,AWK,2021,55.0
1064728,BTU,2021,10.0
72741,ES,2021,55.0
1005757,CSGS,2021,45.0
1043337,SRI,2021,25.0
1176948,ARES,2021,40.0
1177394,SNX,2021,45.0
1077771,UMPQ,2021,40.0
902791,BBSI,2021,20.0
1573516,MUSA,2021,25.0
37808,FNB,2021,40.0
933036,RCII,2021,25.0
1420800,ENOV,2021,35.0
1032033,SLM,2021,40.0
1033012,FBC,2021,40.0
1364742,BLK,2021,40.0
12927,BA,2021,20.0
106640,WHR,2021,25.0
316709,SCHW,2021,40.0
31791,PKI,2021,35.0
1100682,CRL,2021,35.0
922224,PPL,2021,55.0
106040,WDC,2021,45.0
1297184,AMPH,2021,35.0
886346,KAI,2021,20.0
75252,OMI,2021,35.0
59478,LLY,2021,35.0
1069258,KTOS,2021,20.0
230557,SIGI,2021,40.0
55785,KMB,2021,30.0
24741,GLW,2021,45.0
1067983,BRK.B,2021,40.0
814585,MBI,2021,40.0
16040,CBT,2021,15.0
1514705,SXC,2021,15.0
1156039,ELV,2021,35.0
1488813,CUBI,2021,40.0
785161,EHC,2021,35.0
1410172,RBCN,2021,45.0
1336917,UAA,2021,25.0
1636222,WING,2021,25.0
1408075,GPK,2021,15.0
860546,OFC,2021,60.0
1124804,MDRX,2021,35.0
1783180,CARR,2021,20.0
1403568,ULTA,2021,25.0
818479,XRAY,2021,35.0
750004,LNW,2021,25.0
1575965,GLPI,2021,60.0
1001250,EL,2021,30.0
1156375,CME,2021,40.0
46195,BOH,2021,40.0
875045,BIIB,2021,35.0
7536,ARW,2021,45.0
1688476,NEX,2021,10.0
275053,NATR,2021,30.0
1219601,CCK,2021,15.0
1163302,X,2021,15.0
879526,WNC,2021,20.0
277135,GWW,2021,20.0
1145986,ASPN,2021,15.0
1130310,CNP,2021,55.0
917470,ZEUS,2021,15.0
51644,IPG,2021,50.0
1047862,ED,2021,55.0
1230245,PIPR,2021,40.0
16875,CP,2021,20.0
37785,FMC,2021,15.0
1320854,RAIL,2021,20.0
1673985,ASIX,2021,15.0
1040829,RHP,2021,60.0
1590895,CZR,2021,25.0
892537,MANT,2021,20.0
1618673,PFGC,2021,30.0
1071739,CNC,2021,35.0
1451505,RIG,2021,10.0
107263,WMB,2021,10.0
871763,MAN,2021,20.0
766829,SJW,2021,55.0
773141,MDC,2021,25.0
1144215,AYI,2021,20.0
1164727,NEM,2021,15.0
310158,MRK,2021,35.0
940942,HUBG,2021,20.0
1592386,VIRT,2021,40.0
912463,GES,2021,25.0
875357,BOKF,2021,40.0
1571949,ICE,2021,40.0
1018724,AMZN,2021,25.0
